Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
UQ Merit Scholarship,University of Queensland,"Established in 2008, the scholarship is maintained by funds from the University of Queensland and external donors, to encourage and support outstanding secondary students commencing the first year of a bachelor's degree at UQ.","Applicants must: be Australian and New Zealand citizens, or permanent residents, or humanitarian visa holders, or international student who is completing or has completed Years 11 and 12 in Australia); will complete Year 12 in the year of application (or has completed Year 12 in the year preceding the year of application); achieved an ATAR of 99.95; be intending to enrol full-time in the following year (or after an approved year of deferment); has not undertaken previous university level studies (apart from enrichment programs); have applied for a tertiary place through Queensland Tertiary Admissions Centre (QTAC) with UQ as their first or second preference.",,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course","Brisbane Metropolitan, Ipswich/West Moreton",,,,http://scholarships.uq.edu.au/program/uq-academic-scholarship-program
UQ Vice-Chancellor's Scholarship,University of Queensland,"The scholarship was established in 2009 and is maintained by funds from The University of Queensland and external donors, to encourage and support outstanding students who aspire to undertake a program of study for a bachelor degree at UQ. The scholarship is awarded to applicants who achieve at the very top of the OP1 band (or ATAR equivalent).","Applicants must: be Australian and New Zealand citizens, or permanent residents, or Humanitarian visa holders, or international students who is completing or has completed Years 11 and 12 in Australia); will complete Year 12 in the year of application (or has completed Year 12 in the year preceding the year of application); achieves an ATAR of 99.90; be intending to enrol full-time in the following year (or after an approved year of deferment); has not undertaken previous university level studies (apart from enrichment programs); have applied for a tertiary place through Queensland Tertiary Admissions Centre (QTAC) with UQ as their first or second preference.",,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services","Brisbane Metropolitan, Ipswich/West Moreton",,,,http://scholarships.uq.edu.au/program/uq-academic-scholarship-program
Ursula Hoff Art History Scholarship,The University of Melbourne,"The scholarship was established in honour of the late Dr Ursula Hoff. It aims to support: students undertaking coursework degrees in Art History; exchange opportunities; research students with grants for conference attendance, field work and study trips interstate and abroad; and student conferences, publishing initiatives and other projects aimed at developing students' professional abilities so as to make them able and dynamic contributors to the field of art history in Australia and beyond.","Applicants must: be currently enrolled students of the University of Melbourne; be undertaking Honours, Masters by coursework or Research by Higher Degree. Selection is based on academic merit and financial need. Emphasis will be given to the applicant's potential to make a contribution to the discipline of Art History in Australia and/or overseas.",Mid April,Scholarship,,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,1,,Art history,http://arts.unimelb.edu.au/scholarships/the-ursula-hoff-art-history-scholarship
USQ Shine Bursary,University of Southern Queensland,"The USQ Shine Bursary will offer 2 bursaries to female undergraduate and postgraduate students in any field of study in their final year, or be eligible to graduate in the year of the award.","Applicants must: be Australian citizens or have permanent resident status; or be international students studying on-campus at USQ campuses; be female; be entering the final year of their undergraduate or postgraduate degree at USQ in Semester 1; or be eligible to graduate from USQ in the year of the award; be enrolled at Toowoomba, Springfield, Ipswich Campus; and be studying on-campus, external or online.",End October,Scholarship,,Female,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services","Ipswich/West Moreton, Darling Downs/South-West Queensland, Wide Bay",,,,http://www.usq.edu.au/scholarships
USQ Women's Network Bursary,University of Southern Queensland,,"Applicants must: be female; be commencing or continuing their studies in any postgraduate coursework award program in Semester 1; be enrolled at any USQ campus; be enrolled in a minimum of one study unit in Semester 1; and be studying on-campus, external or online.",End October,Scholarship,,Female,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services","Ipswich/West Moreton, Darling Downs/South-West Queensland, Wide Bay",,,,http://www.usq.edu.au/scholarships
USQ-CAS Postgraduate Research Scholarship,University of Southern Queensland,"Through a research partnership between Northwest Institute of Eco-Environment and Resources (NIEER), Chinese Academy of Science (CAS) The University of Southern Queensland (USQ) is offering a postgraduate scholarship for a student commencing Doctor of Philosophy in 2019. NIEER and USQ jointly collaborate on a project on","Have completed a Bachelor Degree with First Class Honours, or equivalent level, or a Master's degree with a significant research component; Be eligible to be enrolled full-time at Springfield on-campus in the PhD program at USQ; Must have applied for enrolment, or currently enrolled in the PhD at USQ; Not be a sponsored student receiving similar funding from a Government, or other organisation; Be eligible to commence the program in Semester 1, 2019. A deferral of the scholarship offer is not permitted.",End October,Scholarship,,Co-Ed,,,,,,,
UTS Business School Doctoral Scholarships,University of Technology Sydney,The UTS Business School offers full-time PhD scholarships for study in any one of the School's 6 research areas: Accounting; Economics; Finance; Management; Marketing; or Health Economics. The scholarships are allocated on the basis of the terms and conditions specified by UTS and the Business School.,Applicants must: have been offered a PhD admission into the UTS Business School for study as a full-time student; have a bachelor degree with first class honours or equivalent level of attainment; and not already have a doctorate degree. Selection is based on: prior academic achievement; evidence of research capability and interest; prior (non-research) experience; prior research experience.,,Scholarship,,Co-Ed,Occasional,Business & Management,Sydney Metropolitan,,,Business,http://www.uts.edu.au/future-students/scholarships
UTS Housing Resident Networker Scholarship,University of Technology Sydney,The Resident Networker program is a leadership development program for UTS Housing residents and is a vital part of the UTS Housing community. This Scholarship is an extension of the Resident Networker (RN) program. The Scholarship is offered on a voluntary basis and aims to provide financial support to students admitted to the Resident Networker program to assist with the costs of their education.,"Applicants must: be a current resident of UTS Housing; person of good fame and character; have full-time enrolment in any UTS undergraduate or postgraduate degree; be an Australian or New Zealand citizens, or permanent residents permanent humanitarian visa holders; or be an international student. Selection is based on: participate in the RN training program; be available throughout UTS housing welcome week; residents who are in the second year of their course or above, have attained, and maintained, a minimum pass grade average in the previous academic year; be endorsed by two current residents of UTS Housing supporting your application to become an RN. Desirable: For residents who are in the second year of their course or above, have attained, and maintained, a minimum credit, or higher, grade average in the previous academic year; demonstrate prior involvement in community leadership roles, including volunteering, UTS clubs and societies, and charity.",,"Scholarship, Accommodation Scholarship",,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,,,,http://www.uts.edu.au/future-students/scholarships
UTS New College Clarendon DPhil Scholarship,University of Technology Sydney,This scholarship is for a UTS graduate commencing a DPhil at New College Oxford in 2017. Scholarships are tenable in all subject areas offered at New College Oxford.,Applicants must: have completed a UTS undergraduate award course with First Class Honours and University medal; or First Class Honours. This scholarship will be assessed and offered based on the applicant's New College Oxford application. Selection criteria will vary slightly depending on the subject area.,,Scholarship,,Co-Ed,Every 3 years,,Sydney Metropolitan,,,,http://www.uts.edu.au/future-students/scholarships
UTS:INSEARCH Doctoral Scholarships,University of Technology Sydney,"With the generous support of UTS:INSEARCH, the UTS Business School offers one full-time PhD scholarship a year for study in any one of the School's six research areas: Accounting; Economics; Finance; Management; Marketing; or Health Economics. UTS:INSEARCH prepares international students in Australia and offshore to study at UTS. It funds these scholarships to encourage international engagement at the research level in the Business School. The scholarships are allocated on the basis of the terms and conditions specified by UTS and UTS:INSEARCH.",Applicants must: be International applicants or applicants with an international background; been offered a PhD admission into the Business School for study as a full-time student; have a bachelor degree with first class honours or equivalent level of attainment; and not have a doctorate degree. Selection is based on: prior academic achievement; evidence of research capability and interest; prior non-research experience; and prior research experience.,,Scholarship,,Co-Ed,Annual,"Accounting, Business & Management, Economics, Sport, Leisure & Recreation, Tourism",Sydney Metropolitan,,,"Economics, Accounting, Management, Finance, Marketing, Business, Health economics",http://cfsites1.uts.edu.au/uts/study/scholarships/pnx-detail.cfm?code=100002355&bar=
UWA Graduate Research Candidate Travel Award,University of Western Australia,"The Board of the Graduate Research School, on the recommendation of the Head of School/Graduate Research Coordinator concerned, may grant a candidate for a research higher degree, an award for travel within Australia or overseas directly relevant to the candidate's research work, including fieldwork, conference attendance and travel to gather research data.",The scholarship is open to full-time and part-time candidates who have had their research proposal approved by the relevant Board.,,"Travel Grant outside Australia, Travel Grant within Australia",,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services","Perth Metropolitan, Great Southern",,,,http://www.scholarships.uwa.edu.au/
UWS Honours Scholarship,Western Sydney University,"The UWS Honours Scholarship provides opportunities for exceptional students who have demonstrated academic excellence in their studies, and are either undertaking or intending to commence their bachelor honours year at UWS. Selection of this scholarship will not only be determined on the basis of highest GPA, but will take into account the allocation of Honours Scholarships within each eligible Bachelor Honours program, to the maximum number of scholarships available.","Applicants must: be Australian citizens or permanent residents, or fee-paying international students; have maintained a minimum GPA of 5.5; and be applying to study a bachelor honours program at UWS or be currently undertaking a bachelor honours program. Selection is based on academic merit. Students who are transferring to UWS from other universities to undertake a bachelor honours program are encouraged to apply.",Early January,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Sydney Metropolitan,50,,,http://www.westernsydney.edu.au/informationabout/scholarships_home/all_scholarships
Vacation Scholarship in Astronomy at CAS,Swinburne University of Technology,The Centre for Astrophysics & Supercomputing (CAS) accepts applications for Vacation Scholarships from enthusiastic university students with excellent scholastic records. The program enables students to experience a research project in one of the areas of expertise of the CAS.,"Applicants must: be undergraduate students in the final or penultimate year of their undergraduate, honours or master degree at an Australian or New Zealand university. Applications from students outside of Australia and New Zealand with exceptional scholastic records may also be considered.",Applications can be made at any time throughout the year,Cadetship,,Co-Ed,Annual,Sciences,Melbourne Metropolitan,3,,"Astrophysics, Astronomy, Astronomy research, Astrophysics research",http://astronomy.swin.edu.au/study/vacstudents.html
Valasi Bleazard Memorial Scholarship in Medicine,University of Newcastle,This scholarship was established to assist a second year student studying Bachelor of Medicine at University of Newcastle.,Applicants must: be enrolled in the second of a Joint Medical program; be female; be enrolled full-time; and not be the recipient of another UoN Donor funded or sponsored scholarship concurrently.,Early March,Scholarship,,Female,Annual,Medicine,Hunter,2,,,http://www.newcastle.edu.au/scholarships/
Valasi Bleazard Memorial Scholarship in Music,University of Newcastle,This scholarship is to assist a second year female student studying at the University of Newcastle's Conservatorium of Music.,Applicants must: be enrolled full-time in the second year of the Bachelor of Music or combined degree; be female; not hold a previous undergraduate degree; and not hold another scholarship of equivalent or more substantial benefit.,Early March,Scholarship,,Female,Annual,"Creative Arts, Humanities & Social Sciences",Hunter,2,,,http://www.newcastle.edu.au/scholarships
Vet Alumni Fourth Year Scholarship,Murdoch University,The fourth year of the Veterinary program marks the transition to clinical science and comes with significant additional hard work and expenses. The Vet Alumni 4th Year Scholarship was established through donations from the Veterinary Alumni to provide support for a student entering their fourth year who is facing demonstrable economic hardship.,"Applicants must: be enrolled at Murdoch University at the date of application; have successfully completed the first and second year of the Bachelor of Science (Veterinary Biology), having achieved passing scores in all third-year units to date; and provide a personal statement of their goals, outlining any circumstances of personal and/or financial hardship.",,"Scholarship, Equity Scholarship",Undergraduate,Co-Ed,Annual,Veterinary Studies & Animal Care,Perth Metropolitan,1,Educational disadvantage,,http://our.murdoch.edu.au/Student-life/Finances/Browse-scholarships/Undergraduate/
Vice Chancellor Travel Grant,Charles Sturt University,The scholarship assists students with the costs associated with undertaking a CSU Global travel program.,Applicants must: be receiving credit for participation in the exchange program; be enrolled in a CSU undergraduate course; be able to agree to the terms and conditions of the exchange program and not be in receipt of an Australian Government Scholarship. International applicants must be not returning to their country of residence and be able to abide the conditions of their visa.,July; December,Travel Grant outside Australia,,Co-Ed,Multiple/year,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course","Central West, Riverina",,,,http://www.csu.edu.au/courses/fees-and-costs/help-with-costs/scholarships/csu-global/vice-chancellor-travel-grants-1500
Vice-Chancellor's Concertmaster Orchestra Leader Scholarship,Monash University,,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; be a commencing or current music performance student in an honours or postgraduate (coursework) degree in the School of Music at a Monash campus in Australia majoring in classical violin performance studies and participating in the Monash Academy Orchestra. Selection is based on an audition/interview, academic achievement and former musical performance experience. Tenure is dependent on satisfactory academic performance.",,Scholarship,,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,1,,Violin,http://www.monash.edu.au/study/scholarships/music/concertmaster.html
Vice-Chancellor's Ensemble Leadership Scholarship,Monash University,,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; be commencing or continuing music performance in an honours or postgraduate (coursework) degree in the School of Music at an Australian Monash campus; and be participating in an ensemble (composition students are not eligible). Selection based on combination of academic achievement and previous musical performance, interview performance and if a current student, achievement of a minimum distinction average in principle music study.",No application required,Scholarship,,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,1,,"Music, Music performance",http://www.study.monash/fees-scholarships/scholarships/find/music-scholarships/leadership
Vice-Chancellor's Excellence Scholarships,Swinburne University of Technology,The Swinburne Vice-Chancellor's Excellence Scholarship is an award to study any Swinburne on-campus degree to provide high-performing students the opportunity to develop and excel in their field of interest.,"For full Eligibility/Selection Criteria details, please see Swinburne Scholarship website.",VTAC dates apply,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Melbourne Metropolitan,,,"Commerce, Engineering, Design, Information technology, Business, Science, Arts, Social sciences",http://www.swinburne.edu.au/study/options/scholarships/list/
VIED PhD Scholarship,Queensland University of Technology,QUT is working with the Vietnam Ministry of Education and Training (MOET) through the Vietnam International Education Development (VIED) Office,"This scholarship is available to eligible Vietnamese postgraduate research students. You must be an international from Vietnam with an offer from QUT, meet all academic requirements, meet English language entry requirements for admission to the QUT course and meet any additional relevant requirements.",No Closing Date,Scholarship,,Co-Ed,,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/project-911-scholarship
Vinten Scholarship,Charles Sturt University,"The scholarship is provided by the friends of Charles Sturt University, the many service organisations, individuals and corporations throughout our region who give generously via the Charles Sturt University Foundation Trust in support of the University and its continuing students in television production at the Wagga Wagga campus.",Applicants must: be enrolled in the second or third year of the Bachelor of Stage and Screen (Television Production) course at the Wagga Wagga campus.,Early April,Scholarship,,Co-Ed,Annual,Creative Arts,Riverina,,,Television production,http://www.csu.edu.au/courses/fees-and-costs/help-with-costs/scholarships/foundation/continuing/vinten-scholarship
Viola Edith Reid Bequest Scholarship,The University of Melbourne,"The funds for the scholarship have been bequeathed by Viola Edith Reid, who died in 1972.","Applicants must: be a medical graduate applying for or enrolled in a graduate research degree of the Faculty of Medicine, Dentistry and Health Sciences. Selections is based on academic merit.",31 October,Scholarship,,Co-Ed,Annual,Medicine,Melbourne Metropolitan,2,,"Surgery, Medicine, Medical science",http://services.unimelb.edu.au/scholarships
Wagga Wagga and District Historical Society Research Scholarship,Charles Sturt University,"Formed in 1962 to collect, store and exhibit local and regional historical materials, the contemporary Wagga Wagga & District Historical Society (WWDHS) collaborates with the CSU Regional Archives to offer this scholarship to give students the opportunity to undertake a research project which makes a contribution to local history.",Applicants must: be continuing students in a Postgraduate Higher Degree Research at the Wagga Wagga campus; and have a sound academic record.,Early April,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Riverina,1,,,http://www.csu.edu.au/courses/fees-and-costs/help-with-costs/scholarships/foundation/any-year/wagga-wagga-and-district-historical-society-scholarship
Wagga Wagga Teachers College Alumni Scholarship,Charles Sturt University,The scholarship is supported by the Wagga Wagga Teachers' Alumni Association (WWTCAA) which has been supporting the Charles Sturt University Foundation since 1997. It aims to support final year CSU Faculty of Education students at the Wagga Wagga campus who have family connections to Wagga Wagga Teachers' College graduates.,"Applicants must: be descendants of a graduate of the Wagga Wagga Teachers' College; be undertaking their Honours or final year of any course in the Faculty of Education at the Albury-Wodonga, Bathurst, Dubbo, Orange, Port Macquarie, Wagga Wagga campus.",End November,Scholarship,,Co-Ed,Annual,Education & Training,"Central West, Riverina",1,,"Education, Education (early childhood), Education (primary), Education (secondary), Teaching - Technology, Teaching - Careers, Teaching (Secondary)",http://www.csu.edu.au/courses/fees-and-costs/help-with-costs/scholarships/foundation/continuing/wagga-wagga-teachers-alumni-scholarship
Warrane College Academic Achievement Residential Award,UNSW Sydney,The scholarship was established to assist first-year residents with accommodation costs at Warrane College.,"Applicants must: be first year residents of Warrane College; be full-time undergraduate students at UNSW ;and have obtained an ATAR of at least 99.00. Selection is based on the application and admission interview, as well as community involvement, likelihood to contribute to life at UNSW and Warrane College.",End November,Accommodation Scholarship,,Male,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,2,,,http://www.scholarships.unsw.edu.au/scholarships/id/759/3105
Warrane College Community Service Residential Award,UNSW Sydney,The Residential Community Award was established to assist first year residents with accommodation costs at Warrane College.,Applicants must: be first year residents of Warrane College; be full-time undergraduate students at UNSW; and be able to demonstrate evidence of extensive community service involvement and ability to take part in Warrane College's community service initiatives.,End November,Accommodation Scholarship,,Male,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,3,,,http://www.scholarships.unsw.edu.au/scholarships/id/758/3106
Warrane College Cultural Achievement Residential Award,UNSW Sydney,The scholarship was established to assist first year residents with accommodation costs at Warrane College.,"Applicants must: be first year residents of Warrane College; have attained a high grade (AMEB or equivalent) in one or more musical instruments; be able to demonstrate performance experience in music, drama or other arts; and have potential for leadership in cultural events. Selection is based on the application and admission interview, their community involvement and likelihood to contribute to life at UNSW and Warrane College.",End November,Accommodation Scholarship,,Male,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,2,,,http://www.scholarships.unsw.edu.au/scholarships/id/757/3107
Warrane College Rural Area Students Residential Award,UNSW Sydney,The Residential Rural Award is established to assist recipients with accommodation costs at Warane College.,"Applicants must: be from rural areas - specifically the family home must have been located in a rural area for at least 4 of the applicant's high school years. Selection is based on application and admission interview, their community involvement and likelihood to contribute to life at UNSW and Warrane College.",Mid December,Scholarship,Undergraduate,Male,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,5,Rural and isolated area resident,,http://scholarships.online.unsw.edu.au/scholarship/sc_al_search_detail.display_scholarship_details?p_scholarship_specific_id=765
Warrane College Sporting Achievement Residential Award,UNSW Sydney,The Residential Sporting Award was established to assist first year residents with accommodation costs at Warrane College.,Applicants must: be first year residents of Warrane College; and be full-time undergraduate students in any faculty at UNSW. Selection is based on: representation in sport at a high level; evidence of potential for leadership in sport; and be permitted to and have a willingness to take part in Warrane College's sporting competitions.,Early February,Scholarship,,Male,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,2,,,http://www.scholarships.unsw.edu.au/scholarships/id/756/3103
Warren Braxton Bannister Bursaries in Economics,University of Queensland,The scholarship was established in 2005 and is maintained by an endowment from the estate of the late Warren Braxton Bannister.,"Applicants must: be Australian or New Zealand citizens, or permanent residents; be in their first year of Bachelor of Economics; and demonstrate financial need. Selection is based on academic achievement.",18 April,Scholarship,,Co-Ed,Annual,Economics,Brisbane Metropolitan,2,,Economics,http://scholarships.uq.edu.au/scholarship/warren-braxton-bannister-bursaries-in-economics
"Warren Braxton Bannister Undergraduate Bursaries in Social Science, Political Science and Government",University of Queensland,"The bursaries were established in 2004 and are maintained by an endowment from the estate of the late Warren Braxton Bannister for undergraduate study in Political Science, Government or any other social science.","Applicants must: be Australian or New Zealand citizens, permanent residents, or International students; completed at least 16 units in Bachelor of Social Science; Bachelor of International Studies; or Bachelor of Arts majoring in the field related to social science, political science or government; and be enrolled full-time. Selection is based on academic achievement, leadership potential, and financial need.",,Scholarship,,Co-Ed,Annual,Humanities & Social Sciences,Ipswich/West Moreton,6,,"Social science, Political science, Government",http://scholarships.uq.edu.au/
Water and the Making of Urban Australia: a history since 1900 Postgraduate Scholarship,University of Western Australia,"Applications are invited from prospective doctoral students to join a dynamic team of six historians working on a major new project in Australian history. We are producing a comparative study of the provision, use and social impact of water and water infrastructure in Australias five largest cities from 1900 to the present. In doing so, we seek to reveal the complexities of water systems and water use in urban Australia in the past, which continue to influence water management in the present. The doctoral student will commence research on a topic within this area to be negotiated with the supervisors, from an urban, environmental or economic history perspective. Projects comparing aspects of urban water history in Australia and elsewhere are encouraged.","Honours or MA degree in History, Economic History, Historical Geography or related field at a satisfactory level of achievement.",End August,Scholarship,,Co-Ed,Annual,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=8101&page=55&ApplicationStatus
